LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715671107.861180,2459930.500,9300,2,AK,1,100,9298
1715671107.881622,2459950.000,9300,2,AK,1,100,RD
1715671110.538492,2462484.500,10163,2,AK,1,100,9298
1715671113.195362,2465019.000,10163,2,AK,1,100,RD
1715671113.208990,2465032.000,10166,2,AK,1,100,10164
1715671113.222618,2465045.000,10166,2,AK,1,100,RD
1715671115.894688,2467594.000,11025,2,AK,1,100,10164
1715671118.566758,2470143.000,11025,2,AK,1,100,RD
1715671118.580386,2470156.000,11028,2,AK,1,100,11026
1715671118.594014,2470169.000,11028,2,AK,1,100,RD
1715671121.278139,2472729.500,11892,2,AK,1,100,11026
1715671123.962265,2475290.000,11892,2,AK,1,100,RD
1715671124.007865,2475333.500,11895,2,AK,1,100,11893
1715671124.053465,2475377.000,11895,2,AK,1,100,RD
1715671129.381358,2480459.500,13585,2,AK,1,100,13583
1715671134.709250,2485542.000,13585,2,AK,1,100,RD
1715671137.383941,2488093.500,14446,2,AK,1,100,13583
1715671140.058632,2490645.000,14446,2,AK,1,100,RD
1715671140.093226,2490678.000,14449,2,AK,1,100,14447
1715671140.127819,2490711.000,14449,2,AK,1,100,RD
1715671142.772634,2493234.000,15297,2,AK,1,100,14447
1715671145.417449,2495757.000,15297,2,AK,1,100,RD
1715671145.431077,2495770.000,15300,2,AK,1,100,15298
1715671145.444704,2495783.000,15300,2,AK,1,100,RD
1715671148.107340,2498323.000,16159,2,AK,1,100,15298
1715671150.769976,2500863.000,16159,2,AK,1,100,RD
1715671150.783080,2500875.500,16162,2,AK,1,100,16160
1715671150.796183,2500888.000,16162,2,AK,1,100,RD
1715671153.464060,2503433.000,17021,2,AK,1,100,16160
1715671156.131938,2505978.000,17021,2,AK,1,100,RD
1715671156.170200,2506014.500,17024,2,AK,1,100,17022
1715671156.208462,2506051.000,17024,2,AK,1,100,RD
1715671158.865857,2508586.000,17855,2,AK,1,100,17022
1715671161.523251,2511121.000,17855,2,AK,1,100,RD
1715671161.538975,2511136.000,17858,2,AK,1,100,17856
1715671161.554699,2511151.000,17858,2,AK,1,100,RD
1715671164.249832,2513722.000,18718,2,AK,1,100,17856
1715671166.944965,2516293.000,18718,2,AK,1,100,RD
1715671166.962261,2516309.500,18721,2,AK,1,100,18719
1715671166.979558,2516326.000,18721,2,AK,1,100,RD
1715671169.662111,2518885.000,19580,2,AK,1,100,18719
1715671172.344664,2521444.000,19580,2,AK,1,100,RD
1715671172.358816,2521457.500,19583,2,AK,1,100,19581
1715671172.372968,2521471.000,19583,2,AK,1,100,RD
1715671180.427965,2529155.000,22152,2,AK,1,100,21306
1715671188.482963,2536839.000,22152,2,AK,1,100,RD
1715671191.165516,2539398.000,22982,2,AK,1,100,22153
1715671193.848069,2541957.000,22982,2,AK,1,100,RD
1715671193.855932,2541964.500,22984,2,AK,1,100,22153
1715671193.863794,2541972.000,22984,2,AK,1,100,RD
1715671193.881090,2541988.500,22987,2,AK,1,100,22985
1715671193.898387,2542005.000,22987,2,AK,1,100,RD
1715671196.548443,2544533.000,23846,2,AK,1,100,22985
1715671199.198500,2547061.000,23846,2,AK,1,100,RD
1715671199.213176,2547075.000,23849,2,AK,1,100,23847
1715671199.227852,2547089.000,23849,2,AK,1,100,RD
1715671201.888391,2549627.000,24692,2,AK,1,100,23847
1715671204.548930,2552165.000,24692,2,AK,1,100,RD
1715671204.565179,2552180.500,24695,2,AK,1,100,24693
1715671204.581427,2552196.000,24695,2,AK,1,100,RD
1715671207.246684,2554738.500,25564,2,AK,1,100,24693
1715671209.911940,2557281.000,25564,2,AK,1,100,RD
1715671209.936575,2557304.500,25567,2,AK,1,100,25565
1715671209.961209,2557328.000,25567,2,AK,1,100,RD
