LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1715672273.189438,3571586,60895,4,TX,1,100,487707.4171040,2233031.7242173,
1715672274.512369,3572848,61098,4,TX,1,100,487708.7497032,2233033.0568060,
1715672275.786032,3574063,61288,4,TX,1,100,487709.9996943,2233034.3067821,
1715672276.333235,3574585,61376,4,TX,1,100,487710.5328614,2233034.8399492,
1715672277.092191,3575309,61496,4,TX,1,100,487711.2829111,2233035.5899989,
1715672278.409881,3576566,61699,4,TX,1,100,487712.5995472,2233036.9066241,
1715672279.662578,3577761,61902,4,TX,1,100,487713.8829469,2233038.1900058,
1715672280.206636,3578280,61977,4,TX,1,100,487714.3996321,2233038.7066911,
1715672280.969785,3579008,62101,4,TX,1,100,487715.1830595,2233039.4901184,
1715672281.600851,3579610,62202,4,TX,1,100,487715.7834318,2233040.0904886,
1715672282.241351,3580221,62306,4,TX,1,100,487716.3663364,2233040.6733932,
1715672282.676388,3580636,62375,4,TX,1,100,487716.9163544,2233041.2234112,
1715672283.446875,3581371,62496,4,TX,1,100,487717.6996963,2233042.0067796,
1715672283.980451,3581880,62581,4,TX,1,100,487718.2334040,2233042.5404874,
1715672284.745697,3582610,62700,4,TX,1,100,487718.9662445,2233043.2733278,
1715672285.249920,3583091,62786,4,TX,1,100,487719.4997739,2233043.8068324,
1715672286.116849,3583918,62914,4,TX,1,100,487720.2498807,2233044.5569392,
1715672286.646231,3584423,63001,4,TX,1,100,487720.7663869,2233045.0734454,
1715672287.318180,3585064,63106,4,TX,1,100,487721.5663538,2233045.8734017,
1715672287.932473,3585650,63207,4,TX,1,100,487722.1498070,2233046.4568549,
1715672288.570877,3586259,63308,4,TX,1,100,487722.7997952,2233047.1068431,
1715672289.953561,3587578,63529,4,TX,1,100,487724.1831893,2233048.4902030,
1715672290.491329,3588091,63613,4,TX,1,100,487724.7330421,2233049.0400559,
1715672291.225127,3588791,63721,4,TX,1,100,487725.4664016,2233049.7734316,
1715672291.866675,3589403,63825,4,TX,1,100,487726.0447711,2233050.3518011,
1715672292.526044,3590032,63929,4,TX,1,100,487726.6829536,2233050.9899836,
1715672293.772451,3591221,64131,4,TX,1,100,487727.9831070,2233052.2901342,
1715672294.441255,3591859,64232,4,TX,1,100,487728.5329632,2233052.8399904,
1715672294.991603,3592384,64320,4,TX,1,100,487729.2334893,2233053.5405165,
1715672295.522034,3592890,64405,4,TX,1,100,487729.7663891,2233054.0733784,
1715672296.425653,3593752,64533,4,TX,1,100,487730.5665075,2233054.8734968,
1715672297.383782,3594666,64686,4,TX,1,100,487731.1447878,2233055.4517771,
1715672297.696170,3594964,64741,4,TX,1,100,487731.8831264,2233056.1900826,
1715672298.672121,3595895,64894,4,TX,1,100,487732.4333718,2233056.7403280,
1715672298.958302,3596168,64945,4,TX,1,100,487733.1665498,2233057.4735060,
1715672299.499215,3596684,65030,4,TX,1,100,487733.7002743,2233058.0072561,
1715672300.253978,3597404,65150,4,TX,1,100,487734.4497771,2233058.7567589,
1715672301.509820,3598602,65356,4,TX,1,100,487735.6831955,2233059.9901622,
1715672301.961629,3599033,65416,4,TX,1,100,487736.1833069,2233060.4902736,
1715672302.911372,3599939,32,4,TX,1,100,487737.0833057,2233061.3902723,
1715672303.444948,3600448,119,4,TX,1,100,487737.6332480,2233061.9401963,
1715672304.196566,3601165,237,4,TX,1,100,487738.4169179,2233062.7238662,
