LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1715670970.465502,2328863.000,53841,2,RD,1,100,TL
1715670973.148055,2331422.000,53841,2,RD,1,100,TU
1715670975.932816,2334078.500,54606,2,RD,1,100,TL
1715670978.717577,2336735.000,54606,2,RD,1,100,TU
1715670981.411661,2339305.000,55411,2,RD,1,100,TL
1715670984.105745,2341875.000,55411,2,RD,1,100,TU
1715670986.784629,2344430.500,56257,2,RD,1,100,TL
1715670989.463513,2346986.000,56257,2,RD,1,100,TU
1715670992.146591,2349545.500,57104,2,RD,1,100,TL
1715670994.829668,2352105.000,57104,2,RD,1,100,TU
1715670997.511173,2354663.000,57919,2,RD,1,100,TL
1715671000.192678,2357221.000,57919,2,RD,1,100,TU
1715671002.884666,2359789.000,58731,2,RD,1,100,TL
1715671005.576653,2362357.000,58731,2,RD,1,100,TU
1715671008.355649,2365008.000,59543,2,RD,1,100,TL
1715671011.134644,2367659.000,59543,2,RD,1,100,TU
1715671013.827680,2370228.000,60298,2,RD,1,100,TL
1715671016.520716,2372797.000,60298,2,RD,1,100,TU
1715671019.206938,2375359.500,61144,2,RD,1,100,TL
1715671021.893160,2377922.000,61144,2,RD,1,100,TU
1715671024.580955,2380486.000,62004,2,RD,1,100,TL
1715671027.268749,2383050.000,62004,2,RD,1,100,TU
1715671029.950778,2385608.500,62841,2,RD,1,100,TL
1715671032.632807,2388167.000,62841,2,RD,1,100,TU
1715671035.318505,2390729.000,63689,2,RD,1,100,TL
1715671038.004203,2393291.000,63689,2,RD,1,100,TU
1715671040.679943,2395843.500,64535,2,RD,1,100,TL
1715671043.355682,2398396.000,64535,2,RD,1,100,TU
1715671046.032994,2400950.000,65381,2,RD,1,100,TL
1715671048.710306,2403504.000,65381,2,RD,1,100,TU
1715671051.393907,2406064.000,694,2,RD,1,100,TL
1715671054.077509,2408624.000,694,2,RD,1,100,TU
1715671056.746958,2411170.500,1545,2,RD,1,100,TL
1715671059.416408,2413717.000,1545,2,RD,1,100,TU
1715671062.116782,2416293.000,2406,2,RD,1,100,TL
1715671064.817156,2418869.000,2406,2,RD,1,100,TU
1715671067.502330,2421430.500,3269,2,RD,1,100,TL
1715671070.187504,2423992.000,3269,2,RD,1,100,TU
1715671072.870057,2426551.000,4131,2,RD,1,100,TL
1715671075.552610,2429110.000,4131,2,RD,1,100,TU
1715671078.244074,2431677.500,4995,2,RD,1,100,TL
1715671080.935537,2434245.000,4995,2,RD,1,100,TU
1715671083.635387,2436820.500,5858,2,RD,1,100,TL
1715671086.335237,2439396.000,5858,2,RD,1,100,TU
1715671089.060770,2441996.000,6723,2,RD,1,100,TL
1715671091.786303,2444596.000,6723,2,RD,1,100,TU
1715671094.456276,2447143.000,7569,2,RD,1,100,TL
1715671097.126250,2449690.000,7569,2,RD,1,100,TU
1715671099.803562,2452244.000,8435,2,RD,1,100,TL
1715671102.480874,2454798.000,8435,2,RD,1,100,TU
1715671105.160806,2457354.500,9298,2,RD,1,100,TL
1715671107.840739,2459911.000,9298,2,RD,1,100,TU
1715671110.518050,2462465.000,10164,2,RD,1,100,TL
1715671113.195362,2465019.000,10164,2,RD,1,100,TU
1715671115.881060,2467581.000,11026,2,RD,1,100,TL
