LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1715670769.062259,2136736,21725,1,HR,1,100,55
1715670770.189162,2137811,21898,1,HR,1,100,55
1715670771.307679,2138878,22086,1,HR,1,100,54
1715670772.373782,2139895,22258,1,HR,1,100,55
1715670773.504878,2140974,22430,1,HR,1,100,54
1715670774.589850,2142009,22609,1,HR,1,100,55
1715670775.691594,2143060,22778,1,HR,1,100,55
1715670776.840511,2144156,22953,1,HR,1,100,54
1715670777.880406,2145148,23106,1,HR,1,100,55
1715670778.973764,2146191,23296,1,HR,1,100,55
1715670780.112198,2147277,23474,1,HR,1,100,55
1715670781.156287,2148273,23643,1,HR,1,100,55
1715670782.247548,2149314,23815,1,HR,1,100,55
1715670783.372355,2150387,23987,1,HR,1,100,55
1715670784.419588,2151386,24161,1,HR,1,100,56
1715670785.499319,2152416,24322,1,HR,1,100,56
1715670786.627270,2153492,24510,1,HR,1,100,55
1715670787.638862,2154457,24660,1,HR,1,100,56
1715670788.674564,2155445,24831,1,HR,1,100,57
1715670789.750101,2156471,25008,1,HR,1,100,56
1715670790.729197,2157405,25151,1,HR,1,100,58
1715670791.764899,2158393,25324,1,HR,1,100,58
1715670792.862450,2159440,25496,1,HR,1,100,57
1715670793.858318,2160390,25647,1,HR,1,100,58
1715670795.031345,2161509,25836,1,HR,1,100,56
1715670795.779819,2162223,25962,1,HR,1,100,62
1715670796.576513,2162983,26097,1,HR,1,100,65
1715670797.535691,2163898,26237,1,HR,1,100,64
1715670798.684607,2164994,26427,1,HR,1,100,62
1715670800.037939,2166285,26649,1,HR,1,100,58
1715670800.735047,2166950,26753,1,HR,1,100,64
1715670801.347243,2167534,26846,1,HR,1,100,72
1715670802.131358,2168282,26966,1,HR,1,100,73
1715670803.123033,2169228,27138,1,HR,1,100,70
1715670804.187039,2170243,27306,1,HR,1,100,67
1715670805.365308,2171367,27494,1,HR,1,100,64
1715670806.461810,2172413,27656,1,HR,1,100,62
1715670807.543637,2173445,27808,1,HR,1,100,61
1715670808.649575,2174500,27998,1,HR,1,100,59
1715670809.772284,2175571,28172,1,HR,1,100,58
1715670810.836290,2176586,28341,1,HR,1,100,58
1715670811.952710,2177651,28515,1,HR,1,100,57
1715670812.970592,2178622,28671,1,HR,1,100,57
1715670814.063950,2179665,28862,1,HR,1,100,57
1715670815.170936,2180721,29031,1,HR,1,100,56
1715670816.204541,2181707,29205,1,HR,1,100,57
1715670817.342976,2182793,29381,1,HR,1,100,56
1715670818.428996,2183829,29554,1,HR,1,100,56
1715670819.630327,2184975,29754,1,HR,1,100,55
1715670820.706912,2186002,29927,1,HR,1,100,55
1715670821.764628,2187011,30082,1,HR,1,100,55
1715670822.817103,2188015,30258,1,HR,1,100,56
1715670823.996420,2189140,30449,1,HR,1,100,55
1715670825.009061,2190106,30622,1,HR,1,100,56
1715670826.065729,2191114,30773,1,HR,1,100,56
1715670827.119252,2192119,30946,1,HR,1,100,56
1715670828.099396,2193054,31123,1,HR,1,100,57
1715670829.228395,2194131,31294,1,HR,1,100,57
1715670830.331187,2195183,31463,1,HR,1,100,56
1715670831.303993,2196111,31621,1,HR,1,100,57
1715670832.329213,2197089,31794,1,HR,1,100,58
1715670833.382736,2198094,31956,1,HR,1,100,58
1715670834.435211,2199098,32129,1,HR,1,100,58
1715670835.485589,2200100,32283,1,HR,1,100,58
1715670836.562175,2201127,32455,1,HR,1,100,57
1715670837.595780,2202113,32624,1,HR,1,100,57
1715670838.669221,2203137,32787,1,HR,1,100,57
1715670839.757338,2204175,32944,1,HR,1,100,57
1715670840.768929,2205140,33099,1,HR,1,100,57
1715670841.832936,2206155,33271,1,HR,1,100,57
1715670843.039508,2207306,33460,1,HR,1,100,56
1715670843.915872,2208142,33619,1,HR,1,100,58
1715670845.023906,2209199,33758,1,HR,1,100,58
1715670846.091056,2210217,33930,1,HR,1,100,57
1715670847.078538,2211159,34082,1,HR,1,100,58
1715670848.165606,2212196,34271,1,HR,1,100,58
1715670849.301944,2213280,34442,1,HR,1,100,57
1715670850.347081,2214277,34604,1,HR,1,100,57
1715670851.351335,2215235,34759,1,HR,1,100,58
1715670852.480334,2216312,34928,1,HR,1,100,57
1715670853.481443,2217267,35102,1,HR,1,100,57
1715670854.594719,2218329,35276,1,HR,1,100,57
1715670855.570669,2219260,35416,1,HR,1,100,58
1715670856.526702,2220172,35571,1,HR,1,100,59
1715670857.550873,2221149,35725,1,HR,1,100,59
1715670858.625362,2222174,35899,1,HR,1,100,58
1715670859.619133,2223122,36071,1,HR,1,100,59
1715670860.770147,2224220,36233,1,HR,1,100,57
1715670861.824718,2225226,36405,1,HR,1,100,57
1715670862.794379,2226151,36560,1,HR,1,100,58
1715670863.887737,2227194,36731,1,HR,1,100,58
1715670864.877315,2228138,36889,1,HR,1,100,58
1715670865.913018,2229126,37047,1,HR,1,100,58
1715670866.799864,2229972,37183,1,HR,1,100,61
1715670867.851290,2230975,37352,1,HR,1,100,60
1715670868.481308,2231576,37458,1,HR,1,100,68
1715670869.033752,2232103,37562,1,HR,1,100,77
1715670869.939468,2232967,37682,1,HR,1,100,74
1715670870.818976,2233806,37805,1,HR,1,100,73
1715670872.060142,2234990,38001,1,HR,1,100,68
1715670872.687015,2235588,38105,1,HR,1,100,74
1715670873.475322,2236340,38228,1,HR,1,100,75
1715670874.516266,2237333,38383,1,HR,1,100,71
1715670875.361181,2238139,38519,1,HR,1,100,71
1715670876.236497,2238974,38674,1,HR,1,100,70
1715670876.998598,2239701,38770,1,HR,1,100,73
1715670877.468228,2240149,38853,1,HR,1,100,85
1715670879.346749,2241941,39146,1,HR,1,100,73
1715670881.442264,2243940,39485,1,HR,1,100,63
1715670882.235814,2244697,39598,1,HR,1,100,66
1715670884.279963,2246647,39924,1,HR,1,100,58
1715670885.158423,2247485,40060,1,HR,1,100,60
1715670886.196223,2248475,40232,1,HR,1,100,60
1715670887.161690,2249396,40390,1,HR,1,100,60
1715670888.037005,2250231,40514,1,HR,1,100,62
1715670889.120929,2251265,40685,1,HR,1,100,61
1715670890.103169,2252202,40841,1,HR,1,100,61
1715670891.044526,2253100,40993,1,HR,1,100,62
1715670892.084422,2254092,41151,1,HR,1,100,61
1715670893.142138,2255101,41310,1,HR,1,100,60
1715670894.173647,2256085,41484,1,HR,1,100,60
