LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1715670615.496834,1990243.500,63289,4,EM,1,100,RB
1715670615.549510,1990293.750,63289,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670615.602186,1990344.000,63289,4,EM,1,100,PS
1715670615.654863,1990394.250,63321,4,EM,1,100,RS
1715670615.707539,1990444.500,63321,4,EM,1,100,RB
1715670615.760215,1990494.750,63321,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670615.812891,1990545.000,63321,4,EM,1,100,PS
1715670615.865567,1990595.250,63354,4,EM,1,100,RS
1715670615.918243,1990645.500,63354,4,EM,1,100,RB
1715670615.970920,1990695.750,63354,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670616.023596,1990746.000,63354,4,EM,1,100,PS
1715670616.076272,1990796.250,63386,4,EM,1,100,RS
1715670616.128948,1990846.500,63386,4,EM,1,100,RB
1715670616.181624,1990896.750,63386,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670616.234300,1990947.000,63386,4,EM,1,100,PS
1715670616.286977,1990997.250,63420,4,EM,1,100,RS
1715670616.339653,1991047.500,63420,4,EM,1,100,RB
1715670616.392329,1991097.750,63420,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670616.445005,1991148.000,63420,4,EM,1,100,PS
1715670616.497681,1991198.250,63455,4,EM,1,100,RS
1715670616.550357,1991248.500,63455,4,EM,1,100,RB
1715670616.603034,1991298.750,63455,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670616.655710,1991349.000,63455,4,EM,1,100,PS
1715670616.708386,1991399.250,63487,4,EM,1,100,RS
1715670616.761062,1991449.500,63487,4,EM,1,100,RB
1715670616.813738,1991499.750,63487,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670616.866414,1991550.000,63487,4,EM,1,100,PS
1715670616.919091,1991600.250,63520,4,EM,1,100,RS
1715670616.971767,1991650.500,63520,4,EM,1,100,RB
1715670617.024443,1991700.750,63520,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670617.077119,1991751.000,63520,4,EM,1,100,PS
1715670617.129795,1991801.250,63552,4,EM,1,100,RS
1715670617.182471,1991851.500,63552,4,EM,1,100,RB
1715670617.235147,1991901.750,63552,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670617.287824,1991952.000,63552,4,EM,1,100,PS
1715670617.352031,1992013.250,63588,4,EM,1,100,RS
1715670617.416238,1992074.500,63588,4,EM,1,100,RB
1715670617.480445,1992135.750,63588,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670617.544653,1992197.000,63588,4,EM,1,100,PS
1715670617.597329,1992247.250,63621,4,EM,1,100,RS
1715670617.650005,1992297.500,63621,4,EM,1,100,RB
1715670617.702681,1992347.750,63621,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670617.755357,1992398.000,63621,4,EM,1,100,PS
1715670617.808033,1992448.250,63653,4,EM,1,100,RS
1715670617.860710,1992498.500,63653,4,EM,1,100,RB
1715670617.913386,1992548.750,63653,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670617.966062,1992599.000,63653,4,EM,1,100,PS
1715670618.018738,1992649.250,63687,4,EM,1,100,RS
1715670618.071414,1992699.500,63687,4,EM,1,100,RB
1715670618.124090,1992749.750,63687,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670618.176767,1992800.000,63687,4,EM,1,100,PS
1715670618.229443,1992850.250,63720,4,EM,1,100,RS
1715670618.282119,1992900.500,63720,4,EM,1,100,RB
1715670618.334795,1992950.750,63720,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670618.387471,1993001.000,63720,4,EM,1,100,PS
1715670618.440147,1993051.250,63752,4,EM,1,100,RS
1715670618.492824,1993101.500,63752,4,EM,1,100,RB
1715670618.545500,1993151.750,63752,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670618.598176,1993202.000,63752,4,EM,1,100,PS
1715670618.650852,1993252.250,63790,4,EM,1,100,RS
1715670618.703528,1993302.500,63790,4,EM,1,100,RB
1715670618.756204,1993352.750,63790,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670618.808881,1993403.000,63790,4,EM,1,100,PS
1715670618.861557,1993453.250,63821,4,EM,1,100,RS
1715670618.914233,1993503.500,63821,4,EM,1,100,RB
1715670618.966909,1993553.750,63821,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670619.019585,1993604.000,63821,4,EM,1,100,PS
1715670619.072261,1993654.250,63855,4,EM,1,100,RS
1715670619.124938,1993704.500,63855,4,EM,1,100,RB
1715670619.177614,1993754.750,63855,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670619.230290,1993805.000,63855,4,EM,1,100,PS
1715670619.282966,1993855.250,63889,4,EM,1,100,RS
1715670619.335642,1993905.500,63889,4,EM,1,100,RB
1715670619.388318,1993955.750,63889,4,EM,1,100,2024-05-14_12-39-56-615095.csv
