LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715670899.056544,2260743,42247,1,BI,1,100,960
1715670899.982177,2261626,42400,1,BI,1,100,920
1715670901.049328,2262644,42572,1,BI,1,100,1060
1715670901.989636,2263541,42710,1,BI,1,100,930
1715670903.147988,2264646,42897,1,BI,1,100,1160
1715670904.179497,2265630,43045,1,BI,1,100,1020
1715670905.082068,2266491,43198,1,BI,1,100,900
1715670905.943756,2267313,43334,1,BI,1,100,860
1715670906.855761,2268183,43474,1,BI,1,100,910
1715670907.793973,2269078,43626,1,BI,1,100,930
1715670908.744765,2269985,43773,1,BI,1,100,940
1715670909.761598,2270955,43942,1,BI,1,100,1010
1715670910.780528,2271927,44098,1,BI,1,100,1020
1715670911.831954,2272930,44268,1,BI,1,100,1050
1715670912.854029,2273905,44424,1,BI,1,100,1020
1715670913.997705,2274996,44616,1,BI,1,100,1140
1715670915.097353,2276045,44774,1,BI,1,100,1090
1715670916.207483,2277104,44963,1,BI,1,100,1100
1715670917.233751,2278083,45115,1,BI,1,100,1020
1715670918.292516,2279093,45290,1,BI,1,100,1060
1715670919.272659,2280028,45442,1,BI,1,100,970
1715670920.358679,2281064,45589,1,BI,1,100,1080
1715670921.380754,2282039,45758,1,BI,1,100,1020
1715670922.393394,2283005,45915,1,BI,1,100,1000
1715670923.416517,2283981,46089,1,BI,1,100,1030
1715670924.460606,2284977,46242,1,BI,1,100,1030
1715670925.444942,2285916,46400,1,BI,1,100,980
1715670926.514190,2286936,46552,1,BI,1,100,1060
1715670927.559327,2287933,46725,1,BI,1,100,1040
1715670928.499636,2288830,46885,1,BI,1,100,930
1715670929.511228,2289795,47036,1,BI,1,100,1010
1715670930.339370,2290585,47163,1,BI,1,100,820
1715670931.299596,2291501,47319,1,BI,1,100,960
1715670932.377230,2292529,47475,1,BI,1,100,1070
1715670933.412932,2293517,47629,1,BI,1,100,1030
1715670934.459118,2294515,47799,1,BI,1,100,1040
1715670935.578683,2295583,47974,1,BI,1,100,1110
1715670936.704537,2296657,48146,1,BI,1,100,1130
1715670937.686778,2297594,48301,1,BI,1,100,980
1715670938.644907,2298508,48459,1,BI,1,100,950
1715670939.743506,2299556,48628,1,BI,1,100,1090
1715670940.808561,2300572,48800,1,BI,1,100,1060
