LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1715670943.100105,2302758.000,49180,1,BV,1,100,3.85
1715670948.089926,2307518.000,49960,1,BV,1,100,3.84
1715670953.081844,2312280.000,50738,1,BV,1,100,3.85
1715670958.075859,2317044.000,51540,1,BV,1,100,3.85
1715670963.067777,2321806.000,52317,1,BV,1,100,3.85
1715670968.062840,2326571.000,53045,1,BV,1,100,3.84
1715670973.056855,2331335.000,53837,1,BV,1,100,3.84
1715670978.046676,2336095.000,54602,1,BV,1,100,3.84
1715670983.041739,2340860.000,55252,1,BV,1,100,3.85
1715670988.031560,2345620.000,56049,1,BV,1,100,3.84
1715670993.027672,2350386.000,56827,1,BV,1,100,3.84
1715670998.018541,2355147.000,57589,1,BV,1,100,3.84
1715671003.017797,2359916.000,58352,1,BV,1,100,3.85
1715671008.007619,2364676.000,59110,1,BV,1,100,3.84
1715671013.004778,2369443.000,59746,1,BV,1,100,3.83
1715671017.990407,2374199.000,60541,1,BV,1,100,3.84
1715671022.986518,2378965.000,61334,1,BV,1,100,3.84
1715671027.977388,2383726.000,62111,1,BV,1,100,3.84
1715671032.970354,2388489.000,62895,1,BV,1,100,3.84
1715671037.961224,2393250.000,63708,1,BV,1,100,3.84
1715671042.955239,2398014.000,64479,1,BV,1,100,3.84
1715671047.947156,2402776.000,65275,1,BV,1,100,3.84
1715671052.941171,2407540.000,537,1,BV,1,100,3.84
1715671057.929944,2412299.000,1316,1,BV,1,100,3.83
1715671062.917669,2417057.000,2110,1,BV,1,100,3.84
1715671067.909587,2421819.000,2924,1,BV,1,100,3.84
1715671072.897312,2426577.000,3715,1,BV,1,100,3.85
1715671077.888182,2431338.000,4530,1,BV,1,100,3.84
1715671082.873811,2436094.000,5327,1,BV,1,100,3.84
1715671087.867825,2440858.000,6117,1,BV,1,100,3.84
1715671092.856598,2445617.000,6916,1,BV,1,100,3.84
1715671097.850613,2450381.000,7713,1,BV,1,100,3.84
1715671102.837290,2455138.000,8506,1,BV,1,100,3.84
1715671107.831304,2459902.000,9320,1,BV,1,100,3.84
1715671112.817981,2464659.000,10125,1,BV,1,100,3.84
1715671117.814092,2469425.000,10915,1,BV,1,100,3.84
1715671122.802865,2474184.000,11717,1,BV,1,100,3.83
1715671127.797928,2478949.000,12516,1,BV,1,100,3.84
1715671132.788798,2483710.000,13292,1,BV,1,100,3.84
1715671137.783861,2488475.000,14100,1,BV,1,100,3.84
1715671142.772634,2493234.000,14897,1,BV,1,100,3.84
1715671147.769794,2498001.000,15690,1,BV,1,100,3.84
1715671152.759615,2502761.000,16505,1,BV,1,100,3.84
1715671157.756774,2507528.000,17267,1,BV,1,100,3.84
1715671162.745548,2512287.000,18079,1,BV,1,100,3.83
1715671167.740611,2517052.000,18878,1,BV,1,100,3.84
1715671172.731480,2521813.000,19657,1,BV,1,100,3.84
1715671177.723398,2526575.000,20465,1,BV,1,100,3.84
1715671182.712172,2531334.000,21254,1,BV,1,100,3.84
1715671187.704090,2536096.000,22048,1,BV,1,100,3.84
1715671192.692863,2540855.000,22806,1,BV,1,100,3.83
1715671197.686877,2545619.000,23620,1,BV,1,100,3.84
1715671202.676699,2550379.000,24415,1,BV,1,100,3.83
1715671207.662327,2555135.000,25214,1,BV,1,100,3.84
1715671212.653197,2559896.000,26012,1,BV,1,100,3.83
1715671217.640922,2564654.000,26822,1,BV,1,100,3.84
1715671222.632840,2569416.000,27619,1,BV,1,100,3.83
1715671227.619517,2574173.000,28413,1,BV,1,100,3.83
1715671232.610386,2578934.000,29213,1,BV,1,100,3.83
1715671237.598111,2583692.000,30018,1,BV,1,100,3.83
1715671242.593174,2588457.000,30813,1,BV,1,100,3.84
1715671247.584044,2593218.000,31608,1,BV,1,100,3.84
1715671252.574914,2597979.000,32365,1,BV,1,100,3.83
1715671257.566832,2602741.000,33158,1,BV,1,100,3.83
1715671262.557702,2607502.000,33922,1,BV,1,100,3.84
1715671267.552765,2612267.000,34706,1,BV,1,100,3.84
1715671272.543634,2617028.000,35485,1,BV,1,100,3.84
1715671277.537649,2621792.000,36278,1,BV,1,100,3.83
1715671282.527470,2626552.000,37075,1,BV,1,100,3.83
1715671287.527775,2631322.000,37821,1,BV,1,100,3.84
1715671292.516548,2636081.000,38617,1,BV,1,100,3.84
1715671297.512659,2640847.000,39395,1,BV,1,100,3.84
1715671302.503529,2645608.000,40175,1,BV,1,100,3.84
1715671307.491254,2650366.000,40951,1,BV,1,100,3.84
1715671312.482124,2655127.000,41749,1,BV,1,100,3.83
1715671317.472993,2659888.000,42510,1,BV,1,100,3.83
1715671322.465960,2664651.000,43302,1,BV,1,100,3.84
1715671327.457878,2669413.000,44083,1,BV,1,100,3.83
1715671332.446651,2674172.000,44883,1,BV,1,100,3.83
1715671337.435424,2678931.000,45663,1,BV,1,100,3.83
