LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1715671891.261582,3207249,905,8,LM,1,100,487325.5293323,2232649.8381276,487325.5489454,25,
1715671892.967137,3208876,1160,8,LM,1,100,487326.7955903,2232651.1043856,487326.8157314,25,
1715671893.177841,3209077,1198,8,LM,1,100,487327.3290014,2232651.6378042,487327.3492474,28,
1715671893.849790,3209718,1305,8,LM,1,100,487328.0790003,2232652.3878031,487328.0833265,25,
1715671894.382317,3210226,1392,8,LM,1,100,487328.6292203,2232652.9380231,487328.6501304,28,
1715671895.061604,3210874,1495,8,LM,1,100,487329.3289738,2232653.6377503,487329.3493804,25,
1715671895.594131,3211382,1582,8,LM,1,100,487329.8624033,2232654.1711799,487329.8825830,28,
1715671896.356232,3212109,1703,8,LM,1,100,487330.6460490,2232654.9548255,487330.6499544,24,
1715671896.889807,3212618,1789,8,LM,1,100,487331.1791310,2232655.4879075,487331.1827704,26,
1715671897.866806,3213550,1942,8,LM,1,100,487332.1289096,2232656.4376874,487332.1494120,25,
1715671899.095392,3214722,2132,8,LM,1,100,487333.3624162,2232657.6711739,487333.3835785,25,
1715671899.735892,3215333,2235,8,LM,1,100,487333.8789775,2232658.1877352,487333.8829516,28,
1715671900.388972,3215956,2337,8,LM,1,100,487334.6794798,2232658.9882376,487334.6837335,24,
1715671901.030520,3216568,2441,8,LM,1,100,487335.2625125,2232659.5712702,487335.2836318,26,
1715671901.655296,3217164,2547,8,LM,1,100,487335.9458492,2232660.2545945,487335.9495569,25,
1715671902.195161,3217679,2631,8,LM,1,100,487336.4791322,2232660.7878775,487336.4834449,28,
1715671902.928959,3218379,2751,8,LM,1,100,487337.1790964,2232661.4878417,487337.1834457,25,
1715671904.358815,3219743,2959,8,LM,1,100,487338.4965112,2232662.8052506,487338.5163202,25,
1715671904.806432,3220170,3029,8,LM,1,100,487338.9958670,2232663.3046064,487339.0160747,28,
1715671905.644009,3220969,3165,8,LM,1,100,487339.7957635,2232664.1045303,487339.8167425,25,
1715671906.087432,3221392,3235,8,LM,1,100,487340.3289979,2232664.6377647,487340.3499853,28,
1715671906.821229,3222092,3358,8,LM,1,100,487341.0790360,2232665.3878028,487341.0833811,25,
1715671907.360046,3222606,3443,8,LM,1,100,487341.5957458,2232665.9044799,487341.6157676,28,
1715671908.108519,3223320,3562,8,LM,1,100,487342.3457630,2232666.6544971,487342.3494864,25,
1715671908.625322,3223813,3647,8,LM,1,100,487342.8628872,2232667.1716213,487342.8838200,28,
1715671909.283643,3224441,3751,8,LM,1,100,487343.5624288,2232667.8712096,487343.5829735,25,
1715671909.827701,3224960,3841,8,LM,1,100,487344.0961708,2232668.4049516,487344.1160653,28,
1715671910.667375,3225761,3979,8,LM,1,100,487344.9462082,2232669.2549890,487344.9503257,24,
1715671911.297393,3226362,4081,8,LM,1,100,487345.5460386,2232669.8547614,487345.5503782,26,
1715671911.967245,3227001,4185,8,LM,1,100,487346.2129066,2232670.5216293,487346.2163904,25,
1715671912.485096,3227495,4271,8,LM,1,100,487346.7624522,2232671.0711749,487346.7828804,28,
1715671913.227279,3228203,4393,8,LM,1,100,487347.4791713,2232671.7878641,487347.4828114,25,
1715671913.875118,3228821,4495,8,LM,1,100,487348.0297049,2232672.3383978,487348.0497007,28,
1715671914.491507,3229409,4596,8,LM,1,100,487348.7290334,2232673.0377263,487348.7501159,25,
1715671915.829115,3230685,4804,8,LM,1,100,487349.9958372,2232674.3045273,487350.0167803,25,
1715671916.268345,3231104,4876,8,LM,1,100,487350.5458886,2232674.8545787,487350.5496159,28,
1715671917.540959,3232318,5080,8,LM,1,100,487351.3459754,2232675.6546570,487351.3502311,24,
1715671917.632160,3232405,5099,8,LM,1,100,487351.8792371,2232676.1879187,487351.8834711,26,
1715671918.369102,3233108,5218,8,LM,1,100,487352.5958423,2232676.9045239,487352.6162807,25,
1715671919.661633,3234341,5421,8,LM,1,100,487353.8793193,2232678.1880067,487353.9165247,25,
1715671920.201498,3234856,5508,8,LM,1,100,487354.4294072,2232678.7380946,487354.4500428,28,
1715671920.966744,3235586,5632,8,LM,1,100,487355.1959239,2232679.5046113,487355.2166532,25,
1715671921.420650,3236019,5702,8,LM,1,100,487355.6963287,2232680.0049831,487355.7166585,28,
1715671922.276048,3236835,5842,8,LM,1,100,487356.4965685,2232680.8052229,487356.5160083,24,
1715671922.721568,3237260,5910,8,LM,1,100,487357.0128575,2232681.3215119,487357.0163474,26,
1715671923.562290,3238062,6046,8,LM,1,100,487357.7959647,2232682.1046005,487357.8167673,25,
1715671924.828614,3239270,6235,8,LM,1,100,487359.0128875,2232683.3215233,487359.0495244,25,
1715671926.135822,3240517,6443,8,LM,1,100,487360.3460991,2232684.6547400,487360.3833608,25,
1715671926.770032,3241122,6548,8,LM,1,100,487360.9209085,2232685.2295494,487360.9493374,28,
1715671927.430450,3241752,6652,8,LM,1,100,487361.6626914,2232685.9713375,487361.6833434,25,
1715671928.795313,3243054,6871,8,LM,1,100,487362.9461481,2232687.2547942,487362.9836520,25,
1715671929.884478,3244093,7041,8,LM,1,100,487364.1794319,2232688.4880688,487364.1831345,24,
1715671930.506109,3244686,7145,8,LM,1,100,487364.7293611,2232689.0379980,487364.7499488,26,
1715671931.252485,3245398,7252,8,LM,1,100,487365.4460768,2232689.7546851,487365.4497599,25,
1715671931.775578,3245897,7340,8,LM,1,100,487365.9461752,2232690.2547835,487365.9837439,28,
