LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670648.102068,2021347.000,2761,1,TH,1,100,35.991
1715670648.237296,2021476.000,2778,1,TH,1,100,35.991
1715670648.369380,2021602.000,2795,1,TH,1,100,35.973
1715670648.503560,2021730.000,2812,1,TH,1,100,35.973
1715670648.639837,2021860.000,2846,1,TH,1,100,35.934
1715670648.771920,2021986.000,2862,1,TH,1,100,35.934
1715670648.907148,2022115.000,2879,1,TH,1,100,35.941
1715670649.038184,2022240.000,2911,1,TH,1,100,35.941
1715670649.170267,2022366.000,2927,1,TH,1,100,35.950
1715670649.304447,2022494.000,2945,1,TH,1,100,35.950
1715670649.438627,2022622.000,2961,1,TH,1,100,35.920
1715670649.570711,2022748.000,2993,1,TH,1,100,35.920
1715670649.706987,2022878.000,3010,1,TH,1,100,35.991
1715670649.840119,2023005.000,3026,1,TH,1,100,35.991
1715670649.974299,2023133.000,3044,1,TH,1,100,36.053
1715670650.104286,2023257.000,3077,1,TH,1,100,36.053
1715670650.236370,2023383.000,3094,1,TH,1,100,36.019
1715670650.367405,2023508.000,3111,1,TH,1,100,36.019
1715670650.500537,2023635.000,3127,1,TH,1,100,36.065
1715670650.634717,2023763.000,3159,1,TH,1,100,36.065
1715670650.769945,2023892.000,3176,1,TH,1,100,35.987
1715670650.902029,2024018.000,3194,1,TH,1,100,35.987
1715670651.036209,2024146.000,3212,1,TH,1,100,35.973
1715670651.169341,2024273.000,3245,1,TH,1,100,35.973
1715670651.299327,2024397.000,3262,1,TH,1,100,35.975
1715670651.431411,2024523.000,3279,1,TH,1,100,35.975
1715670651.566639,2024652.000,3295,1,TH,1,100,35.982
1715670651.698723,2024778.000,3327,1,TH,1,100,35.982
1715670651.832903,2024906.000,3344,1,TH,1,100,36.007
1715670651.969180,2025036.000,3361,1,TH,1,100,36.000
1715670652.101263,2025162.000,3378,1,TH,1,100,36.035
1715670652.236491,2025291.000,3410,1,TH,1,100,36.042
1715670652.367527,2025416.000,3426,1,TH,1,100,35.973
1715670652.499610,2025542.000,3445,1,TH,1,100,35.973
1715670652.632742,2025669.000,3462,1,TH,1,100,36.028
1715670652.766922,2025797.000,3493,1,TH,1,100,36.028
1715670652.899006,2025923.000,3510,1,TH,1,100,35.968
1715670653.035282,2026053.000,3527,1,TH,1,100,35.961
1715670653.168414,2026180.000,3544,1,TH,1,100,35.903
1715670653.302594,2026308.000,3576,1,TH,1,100,35.911
1715670653.432581,2026432.000,3592,1,TH,1,100,35.998
1715670653.564665,2026558.000,3609,1,TH,1,100,35.991
1715670653.695700,2026683.000,3628,1,TH,1,100,36.035
1715670653.828831,2026810.000,3661,1,TH,1,100,36.042
1715670653.963012,2026938.000,3679,1,TH,1,100,35.980
1715670654.098240,2027067.000,3695,1,TH,1,100,35.980
1715670654.230324,2027193.000,3712,1,TH,1,100,36.037
1715670654.364504,2027321.000,3744,1,TH,1,100,36.037
1715670654.497635,2027448.000,3760,1,TH,1,100,35.955
1715670654.627622,2027572.000,3778,1,TH,1,100,35.955
1715670654.759706,2027698.000,3796,1,TH,1,100,36.049
1715670654.894934,2027827.000,3828,1,TH,1,100,36.042
1715670655.025969,2027952.000,3845,1,TH,1,100,36.042
1715670655.160149,2028080.000,3861,1,TH,1,100,36.042
1715670655.296426,2028210.000,3879,1,TH,1,100,35.940
1715670655.428510,2028336.000,3910,1,TH,1,100,35.940
1715670655.563738,2028465.000,3926,1,TH,1,100,35.991
1715670655.694773,2028590.000,3946,1,TH,1,100,35.991
1715670655.826857,2028716.000,3962,1,TH,1,100,36.058
1715670655.958940,2028842.000,3994,1,TH,1,100,36.058
1715670656.093120,2028970.000,4011,1,TH,1,100,35.961
1715670656.225204,2029096.000,4027,1,TH,1,100,35.961
1715670656.361480,2029226.000,4045,1,TH,1,100,35.977
1715670656.494612,2029353.000,4076,1,TH,1,100,35.977
1715670656.628792,2029481.000,4093,1,TH,1,100,35.938
