LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1715670612.264457,1987160.000,62793,3,AY,1,100,0.099
1715670612.304292,1987198.000,62809,3,AY,1,100,0.097
1715670612.344126,1987236.000,62809,3,AY,1,100,0.096
1715670612.383961,1987274.000,62809,3,AY,1,100,0.096
1715670612.424320,1987312.500,62826,2,AY,1,100,0.099
1715670612.464679,1987351.000,62826,2,AY,1,100,0.099
1715670612.508445,1987392.750,62843,4,AY,1,100,0.101
1715670612.552211,1987434.500,62843,4,AY,1,100,0.095
1715670612.595976,1987476.250,62843,4,AY,1,100,0.098
1715670612.639742,1987518.000,62843,4,AY,1,100,0.098
1715670612.679577,1987556.000,62861,3,AY,1,100,0.098
1715670612.719411,1987594.000,62861,3,AY,1,100,0.098
1715670612.759246,1987632.000,62861,3,AY,1,100,0.098
1715670612.799605,1987670.500,62877,2,AY,1,100,0.100
1715670612.839964,1987709.000,62877,2,AY,1,100,0.099
1715670612.879799,1987747.000,62894,3,AY,1,100,0.098
1715670612.919633,1987785.000,62894,3,AY,1,100,0.096
1715670612.959468,1987823.000,62894,3,AY,1,100,0.096
1715670612.999303,1987861.000,62910,3,AY,1,100,0.096
1715670613.039137,1987899.000,62910,3,AY,1,100,0.097
1715670613.078972,1987937.000,62910,3,AY,1,100,0.096
1715670613.118283,1987974.500,62927,4,AY,1,100,0.099
1715670613.157593,1988012.000,62927,4,AY,1,100,0.097
1715670613.196904,1988049.500,62927,4,AY,1,100,0.100
1715670613.236214,1988087.000,62927,4,AY,1,100,0.100
1715670613.275350,1988124.333,62946,3,AY,1,100,0.098
1715670613.314486,1988161.667,62946,3,AY,1,100,0.101
1715670613.353622,1988199.000,62946,3,AY,1,100,0.099
1715670613.394505,1988238.000,62961,2,AY,1,100,0.097
1715670613.435388,1988277.000,62961,2,AY,1,100,0.099
1715670613.475572,1988315.333,62977,3,AY,1,100,0.097
1715670613.515756,1988353.667,62977,3,AY,1,100,0.099
1715670613.555940,1988392.000,62977,3,AY,1,100,0.097
1715670613.595775,1988430.000,62994,2,AY,1,100,0.103
1715670613.635610,1988468.000,62994,2,AY,1,100,0.098
1715670613.675794,1988506.333,63013,3,AY,1,100,0.098
1715670613.715978,1988544.667,63013,3,AY,1,100,0.100
1715670613.756162,1988583.000,63013,3,AY,1,100,0.096
1715670613.796696,1988621.667,63030,3,AY,1,100,0.101
1715670613.837229,1988660.333,63030,3,AY,1,100,0.102
1715670613.877763,1988699.000,63030,3,AY,1,100,0.098
1715670613.917598,1988737.000,63044,2,AY,1,100,0.100
1715670613.957432,1988775.000,63044,2,AY,1,100,0.098
1715670613.997267,1988813.000,63062,3,AY,1,100,0.099
1715670614.037102,1988851.000,63062,3,AY,1,100,0.095
1715670614.076936,1988889.000,63062,3,AY,1,100,0.098
1715670614.116771,1988927.000,63078,3,AY,1,100,0.097
1715670614.156606,1988965.000,63078,3,AY,1,100,0.101
1715670614.196440,1989003.000,63078,3,AY,1,100,0.097
1715670614.236275,1989041.000,63095,2,AY,1,100,0.101
1715670614.276110,1989079.000,63095,2,AY,1,100,0.101
1715670614.315595,1989116.667,63113,3,AY,1,100,0.097
1715670614.355081,1989154.333,63113,3,AY,1,100,0.096
1715670614.394566,1989192.000,63113,3,AY,1,100,0.098
1715670614.434750,1989230.333,63129,3,AY,1,100,0.099
1715670614.474934,1989268.667,63129,3,AY,1,100,0.097
1715670614.515118,1989307.000,63129,3,AY,1,100,0.099
1715670614.553905,1989344.000,63145,2,AY,1,100,0.100
1715670614.592691,1989381.000,63145,2,AY,1,100,0.099
1715670614.633225,1989419.667,63163,3,AY,1,100,0.099
1715670614.673758,1989458.333,63163,3,AY,1,100,0.099
1715670614.714292,1989497.000,63163,3,AY,1,100,0.094
1715670614.754127,1989535.000,63179,3,AY,1,100,0.097
1715670614.793961,1989573.000,63179,3,AY,1,100,0.100
