LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1715670642.364821,2015874.000,1862,1,T1,1,100,36.974
1715670642.496905,2016000.000,1879,1,T1,1,100,37.060
1715670642.631085,2016128.000,1913,1,T1,1,100,37.061
1715670642.765265,2016256.000,1929,1,T1,1,100,37.168
1715670642.898397,2016383.000,1946,1,T1,1,100,37.037
1715670643.032577,2016511.000,1978,1,T1,1,100,37.016
1715670643.165709,2016638.000,1996,1,T1,1,100,37.042
1715670643.299889,2016766.000,2014,1,T1,1,100,36.947
1715670643.433021,2016893.000,2030,1,T1,1,100,37.084
1715670643.564056,2017018.000,2047,1,T1,1,100,37.072
1715670643.697188,2017145.000,2066,1,T1,1,100,37.031
1715670643.830319,2017272.000,2099,1,T1,1,100,37.013
1715670643.963451,2017399.000,2117,1,T1,1,100,36.864
1715670644.098680,2017528.000,2133,1,T1,1,100,36.941
1715670644.230763,2017654.000,2150,1,T1,1,100,37.010
1715670644.363895,2017781.000,2182,1,T1,1,100,36.933
1715670644.497027,2017908.000,2198,1,T1,1,100,37.007
1715670644.629110,2018034.000,2216,1,T1,1,100,37.038
1715670644.760145,2018159.000,2232,1,T1,1,100,37.052
1715670644.894325,2018287.000,2249,1,T1,1,100,37.023
1715670645.027457,2018414.000,2281,1,T1,1,100,37.010
1715670645.160589,2018541.000,2297,1,T1,1,100,37.075
1715670645.295817,2018670.000,2315,1,T1,1,100,36.997
1715670645.428949,2018797.000,2331,1,T1,1,100,36.928
1715670645.562081,2018924.000,2363,1,T1,1,100,37.040
1715670645.695213,2019051.000,2380,1,T1,1,100,37.053
1715670645.827296,2019177.000,2396,1,T1,1,100,37.094
1715670645.961476,2019305.000,2428,1,T1,1,100,36.970
1715670646.095656,2019433.000,2447,1,T1,1,100,37.022
1715670646.228788,2019560.000,2463,1,T1,1,100,36.974
1715670646.362968,2019688.000,2481,1,T1,1,100,37.095
1715670646.496100,2019815.000,2512,1,T1,1,100,37.041
1715670646.630280,2019943.000,2529,1,T1,1,100,37.018
1715670646.763412,2020070.000,2546,1,T1,1,100,37.008
1715670646.894447,2020195.000,2562,1,T1,1,100,36.932
1715670647.026531,2020321.000,2596,1,T1,1,100,36.971
1715670647.159662,2020448.000,2613,1,T1,1,100,36.987
1715670647.292794,2020575.000,2630,1,T1,1,100,36.959
1715670647.428023,2020704.000,2647,1,T1,1,100,37.018
1715670647.560106,2020830.000,2679,1,T1,1,100,37.043
1715670647.693238,2020957.000,2695,1,T1,1,100,37.019
1715670647.826370,2021084.000,2712,1,T1,1,100,37.008
1715670647.958453,2021210.000,2729,1,T1,1,100,37.039
1715670648.089489,2021335.000,2760,1,T1,1,100,37.017
1715670648.223669,2021463.000,2777,1,T1,1,100,36.901
1715670648.356800,2021590.000,2794,1,T1,1,100,36.957
1715670648.489932,2021717.000,2811,1,T1,1,100,36.981
1715670648.625160,2021846.000,2845,1,T1,1,100,37.027
1715670648.758292,2021973.000,2861,1,T1,1,100,36.976
1715670648.892473,2022101.000,2878,1,T1,1,100,37.061
1715670649.025604,2022228.000,2895,1,T1,1,100,37.062
1715670649.157688,2022354.000,2926,1,T1,1,100,36.991
1715670649.290819,2022481.000,2944,1,T1,1,100,37.067
1715670649.424999,2022609.000,2960,1,T1,1,100,37.065
1715670649.558131,2022736.000,2977,1,T1,1,100,36.922
1715670649.692312,2022864.000,3009,1,T1,1,100,37.037
1715670649.825443,2022991.000,3025,1,T1,1,100,36.910
1715670649.959623,2023119.000,3043,1,T1,1,100,36.961
1715670650.092755,2023246.000,3076,1,T1,1,100,36.877
1715670650.223790,2023371.000,3093,1,T1,1,100,36.947
1715670650.354825,2023496.000,3110,1,T1,1,100,37.012
1715670650.487957,2023623.000,3126,1,T1,1,100,37.005
1715670650.621089,2023750.000,3144,1,T1,1,100,36.967
1715670650.756318,2023879.000,3175,1,T1,1,100,36.915
1715670650.888401,2024005.000,3193,1,T1,1,100,37.034
1715670651.021533,2024132.000,3211,1,T1,1,100,37.157
1715670651.155713,2024260.000,3227,1,T1,1,100,37.068
1715670651.287796,2024386.000,3261,1,T1,1,100,37.065
1715670651.418832,2024511.000,3278,1,T1,1,100,37.134
1715670651.553012,2024639.000,3294,1,T1,1,100,37.094
1715670651.686143,2024766.000,3312,1,T1,1,100,37.005
1715670651.819275,2024893.000,3343,1,T1,1,100,36.931
1715670651.954504,2025022.000,3360,1,T1,1,100,36.970
