LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1715670661.010610,2033661.000,4770,1,SF,1,100,0.0008
1715670661.276874,2033915.000,4818,1,SF,1,100,0.0007
1715670661.606035,2034229.000,4871,1,SF,1,100,0.0007
1715670661.942533,2034550.000,4919,1,SF,1,100,0.0007
1715670662.275887,2034868.000,4968,1,SF,1,100,0.0007
1715670662.605047,2035182.000,5018,1,SF,1,100,0.0007
1715670663.006539,2035565.000,5085,1,SF,1,100,0.0007
1715670663.338844,2035882.000,5134,1,SF,1,100,0.0007
1715670663.604059,2036135.000,5184,1,SF,1,100,0.0007
1715670663.936365,2036452.000,5237,1,SF,1,100,0.0007
1715670664.270767,2036771.000,5285,1,SF,1,100,0.0007
1715670664.604120,2037089.000,5336,1,SF,1,100,0.0007
1715670664.932233,2037402.000,5386,1,SF,1,100,0.0007
1715670665.334773,2037786.000,5452,1,SF,1,100,0.0006
1715670665.668127,2038104.000,5502,1,SF,1,100,0.0006
1715670665.997287,2038418.000,5552,1,SF,1,100,0.0006
1715670666.264599,2038673.000,5603,1,SF,1,100,0.0006
1715670666.600049,2038993.000,5651,1,SF,1,100,0.0006
1715670666.931306,2039309.000,5702,1,SF,1,100,0.0006
1715670667.261515,2039624.000,5752,1,SF,1,100,0.0006
1715670667.595917,2039943.000,5801,1,SF,1,100,0.0006
1715670667.994264,2040323.000,5868,1,SF,1,100,0.0006
1715670668.324473,2040638.000,5918,1,SF,1,100,0.0006
1715670668.658875,2040957.000,5969,1,SF,1,100,0.0006
1715670668.926186,2041212.000,6021,1,SF,1,100,0.0006
1715670669.256395,2041527.000,6070,1,SF,1,100,0.0006
1715670669.589749,2041845.000,6118,1,SF,1,100,0.0006
1715670669.925199,2042165.000,6171,1,SF,1,100,0.0006
1715670670.322498,2042544.000,6236,1,SF,1,100,0.0005
1715670670.654803,2042861.000,6286,1,SF,1,100,0.0005
1715670670.988157,2043179.000,6337,1,SF,1,100,0.0005
1715670671.320462,2043496.000,6387,1,SF,1,100,0.0005
1715670671.582533,2043746.000,6438,1,SF,1,100,0.0005
1715670671.919031,2044067.000,6486,1,SF,1,100,0.0005
1715670672.252385,2044385.000,6537,1,SF,1,100,0.0005
1715670672.582593,2044700.000,6587,1,SF,1,100,0.0005
1715670672.915947,2045018.000,6636,1,SF,1,100,0.0005
1715670673.317439,2045401.000,6703,1,SF,1,100,0.0005
1715670673.648696,2045717.000,6755,1,SF,1,100,0.0005
1715670673.979953,2046033.000,6804,1,SF,1,100,0.0005
1715670674.247265,2046288.000,6854,1,SF,1,100,0.0005
1715670674.580619,2046606.000,6905,1,SF,1,100,0.0005
1715670674.907682,2046918.000,6953,1,SF,1,100,0.0005
1715670675.244181,2047239.000,7004,1,SF,1,100,0.0005
1715670675.643576,2047620.000,7071,1,SF,1,100,0.0005
1715670675.974833,2047936.000,7119,1,SF,1,100,0.0004
1715670676.310284,2048256.000,7170,1,SF,1,100,0.0004
1715670676.577595,2048511.000,7220,1,SF,1,100,0.0004
1715670676.974894,2048890.000,7270,1,SF,1,100,0.0004
1715670677.306151,2049206.000,7318,1,SF,1,100,0.0004
1715670677.573463,2049461.000,7371,1,SF,1,100,0.0004
1715670677.906817,2049779.000,7419,1,SF,1,100,0.0004
1715670678.233881,2050091.000,7469,1,SF,1,100,0.0004
1715670678.570379,2050412.000,7518,1,SF,1,100,0.0004
1715670678.903733,2050730.000,7571,1,SF,1,100,0.0004
1715670679.301032,2051109.000,7637,1,SF,1,100,0.0004
1715670679.635433,2051428.000,7686,1,SF,1,100,0.0004
1715670679.968787,2051746.000,7737,1,SF,1,100,0.0004
1715670680.235051,2052000.000,7787,1,SF,1,100,0.0004
1715670680.563163,2052313.000,7836,1,SF,1,100,0.0004
1715670680.897565,2052632.000,7887,1,SF,1,100,0.0004
1715670681.230918,2052950.000,7937,1,SF,1,100,0.0004
1715670681.557982,2053262.000,7985,1,SF,1,100,0.0004
1715670681.960523,2053646.000,8051,1,SF,1,100,0.0004
1715670682.293876,2053964.000,8103,1,SF,1,100,0.0004
1715670682.625133,2054280.000,8151,1,SF,1,100,0.0004
1715670682.891397,2054534.000,8202,1,SF,1,100,0.0003
1715670683.226847,2054854.000,8252,1,SF,1,100,0.0003
1715670683.558104,2055170.000,8301,1,SF,1,100,0.0003
1715670683.888313,2055485.000,8353,1,SF,1,100,0.0003
1715670684.222715,2055804.000,8404,1,SF,1,100,0.0003
1715670684.621062,2056184.000,8469,1,SF,1,100,0.0003
1715670684.951271,2056499.000,8519,1,SF,1,100,0.0003
1715670685.285673,2056818.000,8570,1,SF,1,100,0.0003
1715670685.552984,2057073.000,8620,1,SF,1,100,0.0003
1715670685.885290,2057390.000,8669,1,SF,1,100,0.0003
1715670686.217595,2057707.000,8718,1,SF,1,100,0.0003
1715670686.553045,2058027.000,8770,1,SF,1,100,0.0003
1715670686.884302,2058343.000,8818,1,SF,1,100,0.0003
1715670687.213463,2058657.000,8869,1,SF,1,100,0.0003
1715670687.614955,2059040.000,8936,1,SF,1,100,0.0003
1715670687.947260,2059357.000,8984,1,SF,1,100,0.0003
1715670688.277469,2059672.000,9035,1,SF,1,100,0.0003
1715670688.545829,2059928.000,9085,1,SF,1,100,0.0003
1715670688.879183,2060246.000,9138,1,SF,1,100,0.0003
1715670689.211488,2060563.000,9186,1,SF,1,100,0.0003
1715670689.542745,2060879.000,9235,1,SF,1,100,0.0003
1715670689.878195,2061199.000,9287,1,SF,1,100,0.0003
1715670690.275494,2061578.000,9352,1,SF,1,100,0.0003
