LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1715670612.146001,1987047.000,62770,2,EA,1,100,4.319263
1715670612.211519,1987109.500,62789,2,EA,1,100,4.324624
1715670612.277036,1987172.000,62789,2,EA,1,100,4.327300
1715670612.343078,1987235.000,62805,1,EA,1,100,4.319263
1715670612.410168,1987299.000,62821,2,EA,1,100,4.327300
1715670612.477258,1987363.000,62821,2,EA,1,100,4.316597
1715670612.544348,1987427.000,62838,2,EA,1,100,4.324624
1715670612.611439,1987491.000,62838,2,EA,1,100,4.329998
1715670612.678529,1987555.000,62856,2,EA,1,100,4.319263
1715670612.745619,1987619.000,62856,2,EA,1,100,4.316597
1715670612.813757,1987684.000,62872,1,EA,1,100,4.329998
1715670612.880323,1987747.500,62889,2,EA,1,100,4.329998
1715670612.946889,1987811.000,62889,2,EA,1,100,4.313915
1715670613.012930,1987874.000,62906,2,EA,1,100,4.324624
1715670613.078972,1987937.000,62906,2,EA,1,100,4.324624
1715670613.144490,1987999.500,62922,2,EA,1,100,4.321932
1715670613.210007,1988062.000,62922,2,EA,1,100,4.316597
1715670613.275525,1988124.500,62941,2,EA,1,100,4.321932
1715670613.341043,1988187.000,62941,2,EA,1,100,4.321932
1715670613.408133,1988251.000,62958,1,EA,1,100,4.332681
1715670613.475223,1988315.000,62972,2,EA,1,100,4.332681
1715670613.542313,1988379.000,62972,2,EA,1,100,4.324624
1715670613.608354,1988442.000,62989,1,EA,1,100,4.324624
1715670613.675969,1988506.500,63008,2,EA,1,100,4.321932
1715670613.743583,1988571.000,63008,2,EA,1,100,4.327300
1715670613.810673,1988635.000,63025,2,EA,1,100,4.329998
1715670613.877763,1988699.000,63025,2,EA,1,100,4.321932
1715670613.943805,1988762.000,63041,1,EA,1,100,4.329998
1715670614.010370,1988825.500,63057,2,EA,1,100,4.324624
1715670614.076936,1988889.000,63057,2,EA,1,100,4.324624
1715670614.145075,1988954.000,63073,1,EA,1,100,4.321932
1715670614.210592,1989016.500,63090,2,EA,1,100,4.321932
1715670614.276110,1989079.000,63090,2,EA,1,100,4.321932
1715670614.341628,1989141.500,63109,2,EA,1,100,4.329998
1715670614.407145,1989204.000,63109,2,EA,1,100,4.329998
1715670614.475283,1989269.000,63125,1,EA,1,100,4.321932
1715670614.540801,1989331.500,63140,2,EA,1,100,4.332681
1715670614.606319,1989394.000,63140,2,EA,1,100,4.327300
1715670614.674457,1989459.000,63158,1,EA,1,100,4.327300
1715670614.741023,1989522.500,63174,2,EA,1,100,4.324624
1715670614.807589,1989586.000,63174,2,EA,1,100,4.319263
1715670614.874679,1989650.000,63191,1,EA,1,100,4.327300
1715670614.941245,1989713.500,63207,2,EA,1,100,4.332681
1715670615.007811,1989777.000,63207,2,EA,1,100,4.327300
1715670615.074901,1989841.000,63224,2,EA,1,100,4.327300
1715670615.141991,1989905.000,63224,2,EA,1,100,4.324624
1715670615.209081,1989969.000,63240,1,EA,1,100,4.332681
1715670615.275123,1990032.000,63260,2,EA,1,100,4.332681
1715670615.341164,1990095.000,63260,2,EA,1,100,4.319263
1715670615.407206,1990158.000,63276,2,EA,1,100,4.316597
1715670615.473248,1990221.000,63276,2,EA,1,100,4.329998
1715670615.538241,1990283.000,63293,1,EA,1,100,4.332681
1715670615.604283,1990346.000,63309,2,EA,1,100,4.338075
1715670615.670325,1990409.000,63309,2,EA,1,100,4.329998
1715670615.737415,1990473.000,63325,2,EA,1,100,4.332681
1715670615.804505,1990537.000,63325,2,EA,1,100,4.332681
1715670615.871595,1990601.000,63341,1,EA,1,100,4.332681
1715670615.939733,1990666.000,63359,2,EA,1,100,4.338075
1715670616.007872,1990731.000,63359,2,EA,1,100,4.329998
1715670616.072865,1990793.000,63375,1,EA,1,100,4.329998
1715670616.140479,1990857.500,63390,2,EA,1,100,4.329998
1715670616.208093,1990922.000,63390,2,EA,1,100,4.332681
1715670616.273611,1990984.500,63407,2,EA,1,100,4.332681
